,domain,phylum,class,order,family,genus,species,confidence
be5ed9c02284fa6aa31037f0e2d93470,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,0.9988930675016148
504572e3afd673db749ee5e8e3e57b97,Bacteria,Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,,,0.8597859617201968
fa3729663b98de0c0af7913e9f30c19e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,,0.9999678007422356
c89812744d8755bef87bedf499bd19cf,Bacteria,,,,,,,0.9684252406361076
514a4ebb290842347e3f7ac7cbba276e,Bacteria,,,,,,,0.9761663645910498
5fb5ace22c46fefb30969da7bb0dcb74,Bacteria,,,,,,,0.9838092118643886
1efd43e712291698f34853dac3b67f54,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,sanguinis,0.7601280109458121
c99439f78b73ffcf55858ae828aac608,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,pulmonis,0.9481369005130756
9d3ec96491b522546acbdfa3b21b6071,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,,0.9987128332012568
81351ef6b4d49a3a6b2fc24745d70305,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,,0.9884707028830828
55f85b9f95aa14453f466b2ee388737b,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca,,0.999994393952559
13692c41b4bf5d577c28c278caafcddb,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,0.8057998318905527
724c43ad3632cb8c5c6230c874551bd2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,viridiflava,0.9505735572336512
1b448e00c078f81e49a61933072345d2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,fragi,0.7523021401322383
8b111e12f8f73205bac732c7479a97e8,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,0.9892050998983056
9079bfebcce01d4b5c758067b1208c31,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,veronii,0.8750798990438987
063fa4f5a6fa894f7f8243468324ac5e,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,lwoffii,0.9930957323099144
6a9b2745a31a3e5ae16682a323c28a4d,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,0.9367696076055336
498128a80a796620b238d8ad5cd1d2f9,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,,0.9999999961002582
7b9b46a7c3fb8b76b1c68911a9b56da1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,,,0.9079335756093656
30273eb317696f87e7b6fd37ada4bb8f,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,,0.98851859950703
3cdd97ba69a504117de24626ba790e96,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,,0.8439332937825093
6967d97d0d19d82633e2d05305850f80,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,,0.9999041080815536
4ce1be9cea00a1eb7f960600e1ff3cfa,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,0.999964371919078
3e7f7d8ab3a5fb0e3401a0fda19d8bcb,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,0.9934905701573664
1b75626f6834620dc2c729a1a81f497a,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,0.9855606372444408
909755d7142ea53c7f61c97c3586f26c,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,guillouiae,0.7215177163900099
c4aad64f84f51ff331b986a67af4ed3d,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,0.9999995887891971
c73d4cf2ab0b699fb47d44488b82fd40,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,,0.810090932658584
da3328e15aae60ea55a8765511d0327e,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,,0.9627200992848586
0160e14a78b18b903618f11bc732746e,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,muciniphila,0.999999999987395
cfce45c3a7af608093fd99677d635891,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],,,0.995658170077082
14b20f972cfa94f77bc33eccc5ffca4c,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,,0.9999865606406918
a3ebb6445ca32f39df9f84fe48525773,Bacteria,Planctomycetes,Phycisphaerae,WD2101,,,,0.9999921194553432
4aa8e1c58af1b89f613fe3bf2b81604e,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,0.7401750428512665
4042bf819b2707dcb567a04950667ec7,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,0.738871349152801
678424c0e69dd311d2b536cfd69a91a4,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,0.9999956693794568
421da954b88f7175953a73ea34b933e0,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,0.999999914217785
b3406cb10b6d6882837eaacbaec3553e,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,0.9999811316031408
867e71db0537674539934bf97db51bc0,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,0.9805686363911248
de35e106a779f81d63e2e058bf18799c,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,0.9541889113208109
8c001c89f020a1b78b26ee21d1d56746,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,0.8210950965488951
a9e0ac523112f40942da575caf1f386e,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,,0.7429503385261134
033511c7ff4fe93866075cfb9129aa3b,Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,SCA1145,0.9965784248505476
723858f72b4469efb79c323f75bc181f,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,,0.9999515246530136
2ca928ad9749bb9726c35d6528fefec1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,adhaesivum,0.9925155148865812
f6bb195f075d463c5e9b620a6a76dbfd,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,,0.9999802801623
b18b389447d758e7cb173b4b4f2ad960,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,0.7705007913617621
6488fe0aaa024ba9c06647578b5a6caf,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,0.800369942604194
217845ff2f7195cbc781eba1f7e7eaa1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,0.828735375768587
5454ea14c70f0323a5e836aba10947b8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,0.722238664467214
0f006e3e638afedde4892706134a4fb9,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Mycoplana,,0.998070259223398
7f4909ae8d31a3995fa2c200c690a21f,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,,0.8547598789969116
5ec803f68f3c48cd9ce6436ccbd5b1e3,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,,0.8459240643048123
684721318896ed01048f3502333c214d,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,diminuta,0.9254869959587
2ab2f3551b7aa27fd483fdcbaa1a0afb,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,,0.7843975440490764
7a9e7bd6bd3444b67f37c95db2960d50,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,0.9991397042389318
959a178855242ad3833af85d38ccff45,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Balneimonas,,0.9999423462946536
955d8fcbb35e8bc04c8df0c6aae34d34,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,,0.95726048643433
8c255f9dc0be58d1389877ec645f1a17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,,0.9856964071304024
ae25381e186978a7230f03484baede7c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella,,0.9999075445457484
d329ff7ff76454d2282c9f01c2798588,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,,0.7260785296326239
ae4c61e598c093caa5b66b6919f02ba3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,,,0.8152871621326938
e9849de9c0f7be74e13c457f05177aad,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,,0.7299862615303623
de391a8294254c47e8f460325eea85f8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,,,0.8635958068185423
f8fe4ee0ae3da9a1432872f5545a0d42,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,alcaligenes,0.9987991330506324
35b6dde81c92eb7f66ca9f741da3514e,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,0.9997152859669336
14f2e2d783b09c74ccd36ed32cbeaddd,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,0.9999909332226042
62bf37c50994a06e6c8c93355ad1caa0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,0.9739776938262504
77f79d776f3845bc2901cf9c4229de0b,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,,0.9999732697129476
344b020d867e3210563eaf40b0c557ef,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,0.7864152393416735
9f6a3b261bc6acafa3d4a6d2de87f924,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,,0.862093561330372
c2562f279f2b32428e71ef8e8e1cd3d8,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,,0.9956205256238778
a6b6f29a1196cacfc392e3d71f55e2a2,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,starrii,0.9936884594654932
8bcec52021ee6467bf008848d55b7a9f,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,,0.9802494161199682
a5e8aaab366d42b670d589ada160581c,Bacteria,,,,,,,0.953637948042814
c80037fe31359840bb73250f330b60e3,Bacteria,,,,,,,0.964992177621586
a1759b9ca6b3363edacc599498d62b56,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,,0.9922764317793232
d9095748835ade1b8914c5f57b6acbcf,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanisphaera,,0.9930144403735944
816e266d71b9a9af9d3d74893dee443e,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],,,0.9999361763818944
a5551fc60aa8bbaab737487552ea2a75,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],Paraprevotella,,0.9998952954383185
b3d4d129c955517b446df657236ba5a2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],Paraprevotella,,0.9999912817807128
1a8d25f7529d783a219ef689701dd4e2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Barnesiellaceae],,,0.9857133044469076
a659784c026bd9c8cde94da36aa656d7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.9876159339732882
04c7e0ea3038f942f5a28778a74cd1c0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],,,0.9976703756169611
d8e8459398f3f096775f4298666880a7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],,0.9999961014988762
81fad06bda8cf753d87288f1d080da88,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],,0.9982458738797076
f35ce9c514e1398308f5f84ed50b260f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],,0.9997401271641208
cfe4948493ea1b183b006512be10924a,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],,0.9998609944343244
2328e11c4256f1f05395b7a377381279,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],,0.9995009894548996
3c9c437f27aca05f8db167cd080ff1ec,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,melaninogenica,0.999998629817953
848587c4a03949500c5815bd6edb7b6e,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,melaninogenica,0.9999967154062772
75258a676bcd7e73c2437d6a2012d490,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,intermedia,0.9980870794926288
b5bf6383b53e0add0d6589b73949462a,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.8902383326989972
2ff525a1e58c54525e7f2d68a6c0b23e,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,pallens,0.9999191592334477
26b8b1509edf09c438db1634308c3c90,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,nanceiensis,0.9999999996099832
ae27459b7f5465815b1f565d792083ce,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,nanceiensis,0.999999999772882
3e2c7eb0316409806267a8d9845b0b13,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],tannerae,0.9999999999997442
30ebe1a33c21c25c55e4fdbb5894b832,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],tannerae,0.9999999999999148
0a50155a2def454344e1f2305eff7092,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.9999870860422498
acba6a53153faccd2c02a9c0e8a2d941,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.9994405410667316
f3194c2eb241f821239009ca55dbb30c,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri,0.9991254548294644
6edca9464612efff71d8f97299f01663,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,melaninogenica,0.999972358990366
839fafb762395fab1ba257442ec29e7f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,melaninogenica,0.8393320171042293
7cdabbffaaa6cc6d9f478d91f312a8ee,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.9977395176959568
d985172bebaa0bbe61ff5f682d372c6e,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.9986061443871588
2a010fd0ac0d1761c2e64c9cd3fd97c4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.997402699548434
30d793622ebd90e7687dd3827701d46e,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.9998975666676034
025dd300b0ccbd9d5898969c2a1ab138,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],,0.9999347456388564
846cbaf603b77be035fe0cb61d14a23c,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.9999658335733448
7f99061140cbf6c9081a204380efd8e1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.999987380285012
4ab53e40e06f3a9b0b9b2669d8a52f65,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.9996489789140162
2c9e19a0423a00f8c17d8086a8ab39a5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.9727154649600562
49232f27012731b0a65805c0919e2bbc,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.9999767401745704
a621ed0faf5f6d7f3ad8f5e66cd41faf,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.9681375643518056
1a2d9f4af510ce624fa0337c3ea9fedc,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.9903907848166702
faf2bd479f04891ef2afba2f407749ac,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.8679943492751603
6bd57e46e038faafe4bb747e1d494df7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,indistinctus,0.9999956113958838
0be23adca941c1335eb04db17dc66e98,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,endodontalis,0.9999999771111308
ba3ff6e27b67596844f11db93e44c496,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,,0.9940970692200488
752621a2dcf600f86357e9c2fa1fc985,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,,0.9996634769748312
b89da5ee2f75672a2656789aea91071d,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,,0.9994175442755104
4738a05820f1a7840410c66476953498,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,endodontalis,0.9999990640366976
6fea19332b7fb980e2124d0339c596c2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,,0.9996677347946584
c5dfb8aa2b481cb89e2602fc20941587,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,,0.999412378253867
bae6b03d63955f134b6e523285263226,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,0.9974310059057084
9815d07f1b564c9be5aab03db01608da,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,0.989625308592746
a826883ed572461c97a23561f7ecea3c,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,0.9997416371083592
f7a8c8f87af98f9c5f479beaadc0b892,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.9999748584586344
7eedfc5c8d0d6b8852fabb20d52a8c5d,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,succinicans,0.8772130370414141
82e72255267397b777a1afd44ea22755,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,succinicans,0.9401966949885262
55ec4b057c122957d25013675512c73d,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.9999996196579576
76d0a9cc7116aeaa8d26bc09e768cbc4,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.9808504164391996
bcb349a220a0c33a6b780dbc29a25f71,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,0.902603989338203
e0f1938338e6f9b8cf8408e672ee6cd1,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,0.9370331785861774
d8adf2a20249cefe6c627f9c17abb202,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,0.7864088368239393
626b8ee112be0ec208bb16445611d001,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,0.856283618460257
56c98126dde3abb2d263088db55e12c8,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,0.8667074499304933
8c5f2b5fce1b357f54ed4c8c047b6845,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,cryoconitis,0.9673271362371232
22ed70e219c67c2bf4e20e0b144b12bb,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,faecium,0.9999968857463024
87899779aec8d38dfaf48d895cfe8021,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,,,0.973321848903108
66fb1fc4317badb5dfaec2bf8e5055d7,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.8748991064952291
2c47de0940a8213b1ba751a7cd0b649b,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,AF12,,0.999974291758807
4b5eeb300368260019c1fbc7a3c718fc,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,0.9916072061317568
868528ca947bc57b69ffdf83e6b73bae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,0.9858975018911792
0305a4993ecf2d8ef4149fdfc7592603,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis,0.980392160273622
cdd14cce4ec44b3235923652b71e947e,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,0.9999965119371276
44ff26d8105cf822417b4b0c4eb27c02,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,0.8985622308207678
7a5d5e6f85da7ca91daa2d803e8f9279,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,0.867281898730417
ee0fb26fca3afb05e0b288d6fcab899e,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,0.9953666192869424
154709e160e8cada6bfb21115acc80f5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,0.9999998925520824
9118606a87ac19f8d041da20f16f3236,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,distasonis,0.9997857815620996
